账号名称,直播id,直播标题,开播时间,关播时间,直播时长,峰值人数,平均人数,收获音浪,粉丝音浪,非粉音浪,首次送礼用户音浪,送礼人数,送礼粉丝人数,送礼非粉人数,首次送礼人数,预计收入,曝光人数,观看人数,观看粉丝人数,观看非粉人数,涨粉人数,掉粉人数,加团人数,人均停留时长,粉丝人均停留时长,非粉人均停留时长,评论人数,评论粉丝人数,评论非粉人数,点赞次数,点赞粉丝次数,点赞非粉次数,分享次数,分享粉丝次数,分享非粉次数,曝光分布,观看分布,群内粉丝,群外粉丝,观看率,涨粉率,评论率,送礼率,粉丝观看率,粉丝评论率,粉丝点赞率,粉丝分享率,粉丝送礼率,群内粉丝率,创建时间
"财经葛先生","7630686139386399514","A股下午会冲击4100吗？","""2026-04-20T03:59:47.000Z""","""2026-04-20T04:58:40.000Z""",58,1462,1235,1442,1436,6,53,866,861,5,51,"72.00",24369,6952,5144,1808,26,11,19,"9.5500","8.8500","1.2300",720,703,17,41020,40918,102,13,13,0,,,2217,2927,"0.2853","0.0037","0.1036","0.1246","0.7399","0.9764","0.9975","1.0000","0.9942","0.4310","""2026-04-20T10:19:25.000Z"""
"财经葛先生","7629697647499758388","行情落幕？还是倒车接人？","""2026-04-17T12:03:50.000Z""","""2026-04-17T13:46:31.000Z""",102,1526,1121,918,914,4,54,354,351,3,35,"45.00",31298,9988,7201,2787,38,10,20,"10.3800","8.3300","0.9300",1026,992,34,142566,141477,1089,45,44,1,,,2677,4524,"0.3191","0.0038","0.1027","0.0354","0.7210","0.9669","0.9924","0.9778","0.9915","0.3718","""2026-04-20T10:20:04.000Z"""
"财经葛先生","7629573195972004646","行情落幕？还是倒车接人？","""2026-04-17T04:00:54.000Z""","""2026-04-17T04:55:26.000Z""",54,1439,1180,728,722,6,49,564,558,6,47,"36.00",23480,6543,4953,1590,26,3,35,"8.9200","8.1500","1.1200",635,620,15,69159,69052,107,12,12,0,,,2169,2784,"0.2787","0.0040","0.0971","0.0862","0.7570","0.9764","0.9985","1.0000","0.9894","0.4379","""2026-04-17T06:34:02.000Z"""
"财经葛先生","7629325800017267502","今夜重要数据公布！A股、黄金何去何从？","""2026-04-16T12:01:06.000Z""","""2026-04-16T12:57:37.000Z""",56,1815,1184,1070,1043,27,78,521,514,7,69,"53.00",26018,7722,5388,2334,31,10,47,"7.5700","7.2700","0.8700",765,747,18,101354,99825,1529,22,21,1,,,2296,3092,"0.2968","0.0040","0.0991","0.0675","0.6977","0.9765","0.9849","0.9545","0.9866","0.4261","""2026-04-17T06:35:19.000Z"""
"财经葛先生","7629201972255640347","黄金、A股持续震荡！散户咋办？","""2026-04-16T04:00:19.000Z""","""2026-04-16T05:00:37.000Z""",60,1539,1225,1053,947,106,65,601,597,4,61,"52.00",25841,7213,5432,1781,45,10,46,"9.2300","8.4000","1.5200",460,451,9,100138,99483,655,41,41,0,,,2216,3216,"0.2791","0.0062","0.0638","0.0833","0.7531","0.9804","0.9935","1.0000","0.9933","0.4080","""2026-04-17T06:37:07.000Z"""
"财经葛先生","7628954666503572239","黄金、A股持续震荡！散户咋办？","""2026-04-15T12:00:34.000Z""","""2026-04-15T13:00:09.000Z""",59,1188,921,453,453,0,15,225,225,0,12,"22.00",27290,7468,5286,2182,29,10,7,"6.4700","5.8300","0.8800",617,586,31,78252,76203,2049,11,11,0,,,1897,3389,"0.2737","0.0039","0.0826","0.0301","0.7078","0.9498","0.9738","1.0000","1.0000","0.3589","""2026-04-17T06:37:53.000Z"""
"财经葛先生","7628831009345211146","黄金、A股能持续上涨吗？","""2026-04-15T04:00:52.000Z""","""2026-04-15T04:54:59.000Z""",54,1773,1419,1314,1305,9,114,902,894,8,105,"65.00",28081,7920,5911,2009,48,16,74,"8.7500","8.0800","1.4200",469,447,22,36340,36258,82,11,11,0,,,2479,3432,"0.2820","0.0061","0.0592","0.1139","0.7463","0.9531","0.9977","1.0000","0.9911","0.4194","""2026-04-17T06:39:39.000Z"""
"财经葛先生","7628217532521810722","黄金、A股持续震荡！散户咋办？","""2026-04-13T12:20:13.000Z""","""2026-04-13T13:34:58.000Z""",74,963,818,1558,1556,2,18,538,536,2,15,"77.00",27829,7610,5816,1794,19,8,5,"7.0500","6.0800","0.8800",261,250,11,111260,108797,2463,36,35,1,,,2083,3733,"0.2735","0.0025","0.0343","0.0707","0.7643","0.9579","0.9779","0.9722","0.9963","0.3581","""2026-04-13T14:19:20.000Z"""
"财经葛先生","7626976336749267739","牛归速回！","""2026-04-10T04:03:50.000Z""","""2026-04-10T04:56:46.000Z""",52,1638,1340,1422,1417,5,239,546,542,4,39,"71.00",30090,8083,5457,2626,29,4,28,"7.9000","8.1300","0.9200",644,631,13,109231,108015,1216,49,21,28,,,2213,3244,"0.2686","0.0036","0.0797","0.0675","0.6751","0.9798","0.9889","0.4286","0.9927","0.4055","""2026-04-10T10:19:42.000Z"""
"财经葛先生","7626728582307416872","黄金、A股又回落！牛走了吗？","""2026-04-09T12:02:15.000Z""","""2026-04-09T13:10:26.000Z""",68,996,817,10522,10522,0,6,144,144,0,6,"526.00",28005,7453,5722,1731,10,10,3,"6.4800","5.3800","0.9200",297,287,10,51432,51235,197,11,9,2,,,1837,3885,"0.2661","0.0013","0.0398","0.0193","0.7677","0.9663","0.9962","0.8182","1.0000","0.3210","""2026-04-09T14:49:44.000Z"""
"财经葛先生","7626690553664539407","黄金、A股又回落！牛走了吗？","""2026-04-09T09:34:57.000Z""","""2026-04-09T10:21:19.000Z""",46,1531,1122,453,445,8,24,151,145,6,15,"22.00",41687,8060,4786,3274,47,6,11,"5.6700","6.7000","1.3000",197,178,19,64625,60481,4144,5,5,0,,,1555,3231,"0.1933","0.0058","0.0244","0.0187","0.5938","0.9036","0.9359","1.0000","0.9603","0.3249","""2026-04-09T14:50:21.000Z"""
"财经葛先生","7626604556220025650","黄金、A股又回落！牛走了吗？","""2026-04-09T04:01:08.000Z""","""2026-04-09T04:55:45.000Z""",54,2011,1511,1108,1103,5,69,590,586,4,57,"55.00",34742,9134,6295,2839,40,8,48,"8.1700","8.3700","1.1500",427,412,15,183416,182186,1230,44,14,30,,,2455,3840,"0.2629","0.0044","0.0467","0.0646","0.6892","0.9649","0.9933","0.3182","0.9932","0.3900","""2026-04-09T14:50:59.000Z"""
"财经葛先生","7626358139038124852","黄金重回5000？A股重回4000点？","""2026-04-08T12:04:49.000Z""","""2026-04-08T13:13:15.000Z""",68,1705,1380,1816,982,834,875,306,295,11,35,"90.00",53337,12779,7765,5014,87,18,25,"6.4700","6.6300","0.9500",453,411,42,128623,127607,1016,35,35,0,,,2406,5359,"0.2396","0.0068","0.0354","0.0239","0.6076","0.9073","0.9921","1.0000","0.9641","0.3099","""2026-04-08T14:48:56.000Z"""
"财经葛先生","7626318043601177359","黄金重回5000？A股重回4000点？","""2026-04-08T09:29:21.000Z""","""2026-04-08T10:13:45.000Z""",44,2200,1678,737,734,3,23,260,258,2,15,"36.00",59409,11909,6329,5580,108,4,10,"5.4500","6.6300","1.2000",338,313,25,138476,135389,3087,23,20,3,,,1996,4333,"0.2005","0.0091","0.0284","0.0218","0.5314","0.9260","0.9777","0.8696","0.9923","0.3154","""2026-04-08T14:50:09.000Z"""
"财经葛先生","7625947669093010222","4月份黄金、A股咋走？咋办？","""2026-04-07T09:32:04.000Z""","""2026-04-07T10:28:25.000Z""",56,1488,1229,1066,1063,3,23,305,303,2,16,"53.00",35166,8627,5359,3268,47,7,12,"7.1700","7.6300","1.2200",172,161,11,84297,83545,752,42,10,32,,,2002,3357,"0.2453","0.0054","0.0199","0.0354","0.6212","0.9360","0.9911","0.2381","0.9934","0.3736","""2026-04-07T14:49:10.000Z"""
"财经葛先生","7625861663622810378","4月份黄金、A股咋走？咋办？","""2026-04-07T03:58:26.000Z""","""2026-04-07T04:58:37.000Z""",60,1890,1507,1571,1569,2,41,734,733,1,25,"78.00",31589,8888,6326,2562,24,6,13,"9.3000","9.4200","0.9700",255,243,12,57096,56893,203,46,17,29,,,2441,3885,"0.2814","0.0027","0.0287","0.0826","0.7117","0.9529","0.9964","0.3696","0.9986","0.3859","""2026-04-07T14:49:48.000Z"""
"财经葛先生","7624462915755723546","节后黄金、A股咋走？咋办？","""2026-04-03T09:30:35.000Z""","""2026-04-03T10:22:17.000Z""",51,1534,1226,467,460,7,20,203,198,5,15,"23.00",47124,10194,5303,4891,69,4,10,"5.3700","6.7800","1.0200",219,191,28,80885,79842,1043,43,14,29,,,1971,3332,"0.2163","0.0068","0.0215","0.0199","0.5202","0.8721","0.9871","0.3256","0.9754","0.3717","""2026-04-03T10:46:44.000Z"""
