场次ID,客户ID,主播名称,直播间ID,直播主题,报告类型,指标类型,指标值,观看排名,观看时长秒,分析时间,来源文件,创建时间,更新时间
db::7621123069392014106::点赞榜::628518864821684,628518864821684,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,6,52,1351,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:13:13,2026-05-08 10:13:13
db::7621123069392014106::点赞榜::62854921949,62854921949,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,14,3,3143,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:12:13,2026-05-08 10:12:13
db::7621123069392014106::点赞榜::62931384667,62931384667,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,6,77,1659,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:11:55,2026-05-08 10:11:55
db::7621123069392014106::点赞榜::63380023398,63380023398,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,129,1821,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:17:31,2026-05-08 10:17:31
db::7621123069392014106::点赞榜::64749581762,64749581762,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,120,2322,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:11:55,2026-05-08 10:11:55
db::7621123069392014106::点赞榜::65134070769,65134070769,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,6,81,1163,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:12:50,2026-05-08 10:12:50
db::7621123069392014106::点赞榜::66831190922,66831190922,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,8,38,2371,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:12:36,2026-05-08 10:12:36
db::7621123069392014106::点赞榜::67468602201,67468602201,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,139,754,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:17:31,2026-05-08 10:17:31
db::7621123069392014106::点赞榜::67549573247,67549573247,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,137,333,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:15:24,2026-05-08 10:15:24
db::7621123069392014106::点赞榜::67902478202,67902478202,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,6,79,2942,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:13:40,2026-05-08 10:13:40
db::7621123069392014106::点赞榜::68188326170,68188326170,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,11,12,2854,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:13:11,2026-05-08 10:13:11
db::7621123069392014106::点赞榜::69251656308,69251656308,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,176,2899,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:17:31,2026-05-08 10:17:31
db::7621123069392014106::点赞榜::69430875633,69430875633,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,192,2117,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:11:42,2026-05-08 10:11:42
db::7621123069392014106::点赞榜::70128631266,70128631266,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,7,49,1673,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:16:55,2026-05-08 10:16:55
db::7621123069392014106::点赞榜::70185854412,70185854412,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,8,37,1229,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:13:42,2026-05-08 10:13:42
db::7621123069392014106::点赞榜::70418245067,70418245067,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,6,62,1031,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:11:40,2026-05-08 10:11:40
db::7621123069392014106::点赞榜::70516669466,70516669466,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,123,3094,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:12:49,2026-05-08 10:12:49
db::7621123069392014106::点赞榜::71205878935,71205878935,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,186,2985,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:15:16,2026-05-08 10:15:16
db::7621123069392014106::点赞榜::71315085270,71315085270,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,173,2948,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:11:40,2026-05-08 10:11:40
db::7621123069392014106::点赞榜::716471968476749,716471968476749,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,117,2120,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:16:07,2026-05-08 10:16:07
db::7621123069392014106::点赞榜::72912798310,72912798310,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,161,1541,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:17:04,2026-05-08 10:17:04
db::7621123069392014106::点赞榜::74235134746,74235134746,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,88,2274,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:12:36,2026-05-08 10:12:36
db::7621123069392014106::点赞榜::75838123951,75838123951,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,199,2155,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:15:53,2026-05-08 10:15:53
db::7621123069392014106::点赞榜::76672122846,76672122846,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,184,1898,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:17:31,2026-05-08 10:17:31
db::7621123069392014106::点赞榜::78288722608,78288722608,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,97,1478,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:16:40,2026-05-08 10:16:40
db::7621123069392014106::点赞榜::78431607827,78431607827,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,198,1075,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:17:31,2026-05-08 10:17:31
db::7621123069392014106::点赞榜::80128228659,80128228659,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,111,91,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:17:31,2026-05-08 10:17:31
db::7621123069392014106::点赞榜::81302246039,81302246039,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,159,847,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:13:15,2026-05-08 10:13:15
db::7621123069392014106::点赞榜::82391467462,82391467462,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,6,55,858,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:17:20,2026-05-08 10:17:20
db::7621123069392014106::点赞榜::83055568771,83055568771,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,6,53,1626,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:15:39,2026-05-08 10:15:39
db::7621123069392014106::点赞榜::83782003935,83782003935,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,196,121,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:17:08,2026-05-08 10:17:08
db::7621123069392014106::点赞榜::83801989365,83801989365,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,144,2826,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:13:26,2026-05-08 10:13:26
db::7621123069392014106::点赞榜::84667341023,84667341023,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,108,747,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:17:31,2026-05-08 10:17:31
db::7621123069392014106::点赞榜::85385717419,85385717419,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,6,50,1108,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:13:38,2026-05-08 10:13:38
db::7621123069392014106::点赞榜::85447845451,85447845451,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,6,80,396,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:17:31,2026-05-08 10:17:31
db::7621123069392014106::点赞榜::870407637579246,870407637579246,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,179,1150,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:17:31,2026-05-08 10:17:31
db::7621123069392014106::点赞榜::87454654597,87454654597,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,166,3132,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:17:30,2026-05-08 10:17:30
db::7621123069392014106::点赞榜::88362403274,88362403274,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,171,525,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:12:14,2026-05-08 10:12:14
db::7621123069392014106::点赞榜::88654374031,88654374031,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,6,74,271,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:17:04,2026-05-08 10:17:04
db::7621123069392014106::点赞榜::923179363601454,923179363601454,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,146,1777,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:17:31,2026-05-08 10:17:31
db::7621123069392014106::点赞榜::92327874970,92327874970,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,109,1794,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:17:31,2026-05-08 10:17:31
db::7621123069392014106::点赞榜::92383837778,92383837778,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,138,572,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:16:40,2026-05-08 10:16:40
db::7621123069392014106::点赞榜::92440367229,92440367229,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,8,39,3001,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:11:59,2026-05-08 10:11:59
db::7621123069392014106::点赞榜::92768477044,92768477044,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,6,69,2113,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:16:50,2026-05-08 10:16:50
db::7621123069392014106::点赞榜::93084047023,93084047023,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,181,2783,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:13:28,2026-05-08 10:13:28
db::7621123069392014106::点赞榜::93163281133,93163281133,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,7,43,2152,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:11:43,2026-05-08 10:11:43
db::7621123069392014106::点赞榜::93173865368,93173865368,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,180,450,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:12:49,2026-05-08 10:12:49
db::7621123069392014106::点赞榜::93195239278,93195239278,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,12,6,3053,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:12:14,2026-05-08 10:12:14
db::7621123069392014106::点赞榜::93414011151,93414011151,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,89,2775,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:12:13,2026-05-08 10:12:13
db::7621123069392014106::点赞榜::93447968226,93447968226,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,8,34,1680,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:12:24,2026-05-08 10:12:24
db::7621123069392014106::点赞榜::93655111602,93655111602,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,165,1780,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:15:14,2026-05-08 10:15:14
db::7621123069392014106::点赞榜::93657252185,93657252185,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,126,2317,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:16:43,2026-05-08 10:16:43
db::7621123069392014106::点赞榜::93853034405,93853034405,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,7,42,2292,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:13:19,2026-05-08 10:13:19
db::7621123069392014106::点赞榜::93917637784,93917637784,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,6,59,1878,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:11:58,2026-05-08 10:11:58
db::7621123069392014106::点赞榜::94103468703,94103468703,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,9,30,2921,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:13:00,2026-05-08 10:13:00
db::7621123069392014106::点赞榜::95016308823,95016308823,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,93,671,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:17:31,2026-05-08 10:17:31
db::7621123069392014106::点赞榜::95873176237,95873176237,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,12,5,2804,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:11:41,2026-05-08 10:11:41
db::7621123069392014106::点赞榜::96026248081,96026248081,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,191,892,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:13:11,2026-05-08 10:13:11
db::7621123069392014106::点赞榜::96035115844,96035115844,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,167,959,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:17:31,2026-05-08 10:17:31
db::7621123069392014106::点赞榜::96768273137,96768273137,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,6,64,2096,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:11:59,2026-05-08 10:11:59
